"COMPANY","PROMOTER & PROMOTER GROUP (A)","PUBLIC (B)","SHARES HELD BY EMPLOYEE TRUSTS (C2)","STATUS","AS ON DATE","SUBMISSION DATE","REVISION DATE","ACTION"
"Max India Limited","51.11","48.89","0","-","31-DEC-2022","11-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_173799_761715_11012023125113_WEB.xml"
"Balaji Telefilms Limited","34.34","65.66","0","-","31-DEC-2022","11-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_173800_761734_11012023125826_WEB.xml"
"SecUR Credentials Limited","0","100","0","-","31-DEC-2022","11-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_173801_761763_11012023010959_WEB.xml"
"Vaxtex Cotfab Limited","36.28","63.72","0","-","31-DEC-2022","17-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174598_770251_17012023062810_WEB.xml"
"Fourth Dimension Solutions Limited","93.33","6.67","0","-","31-DEC-2022","17-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174599_770262_17012023063021_WEB.xml"
"Ashok Leyland Limited","51.53","48.47","0","-","31-DEC-2022","17-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174600_770266_17012023063033_WEB.xml"
"HIL Limited","40.6","59.4","0","-","31-DEC-2022","17-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174601_770279_17012023063443_WEB.xml"
"Sastasundar Ventures Limited","73.92","26.08","0","-","31-DEC-2022","17-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174602_770281_17012023063506_WEB.xml"
"Orient Cement Limited","37.9","62.1","0","-","31-DEC-2022","17-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174603_770291_17012023063809_WEB.xml"
"AksharChem India Limited","62.7","37.3","0","-","31-DEC-2022","17-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174618_770456_17012023091213_WEB.xml"
"Poonawalla Fincorp Limited","62.05","37.95","0","-","31-DEC-2022","17-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174619_770459_17012023091925_WEB.xml"
"Tanla Platforms Limited","43.73","56.27","0","-","31-DEC-2022","17-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174621_770483_17012023103901_WEB.xml"
"Garware Hi-Tech Films Limited","60.72","39.28","0","-","31-DEC-2022","20-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_175281_775326_20012023044051_WEB.xml"
"Sapphire Foods India Limited","44.9","55.1","0","-","31-DEC-2022","20-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_175282_775331_20012023044156_WEB.xml"
"TCPL Packaging Limited","55.74","44.26","0","-","31-DEC-2022","20-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_175283_775336_20012023044357_WEB.xml"
"GTL Limited","14.29","85.71","0","-","31-DEC-2022","20-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_175285_775346_20012023044608_WEB.xml"
