"COMPANY","PROMOTER & PROMOTER GROUP (A)","PUBLIC (B)","SHARES HELD BY EMPLOYEE TRUSTS (C2)","STATUS","AS ON DATE","SUBMISSION DATE","REVISION DATE","ACTION"
"Sab Events & Governance Now Media Limited","35.97","64.03","0","-","31-DEC-2022","18-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174817_772022_18012023061229_WEB.xml"
"HDFC Life Insurance Company Limited","50.32","49.66","0.03","-","31-DEC-2022","18-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174818_772029_18012023061421_WEB.xml"
"TV Vision Limited","33.16","66.84","0","-","31-DEC-2022","18-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174819_772031_18012023061429_WEB.xml"
"SIS LIMITED","71.59","28.41","0","-","31-DEC-2022","18-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174820_772074_18012023063443_WEB.xml"
"Gufic Biosciences Limited","75","25","0","-","31-DEC-2022","18-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174821_772085_18012023063648_WEB.xml"
"Vedanta Limited","69.69","30.09","0.22","-","31-DEC-2022","19-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174885_772470_19012023112640_WEB.xml"
"Aegis Logistics Limited","58.07","41.93","0","-","31-DEC-2022","19-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174886_772472_19012023112801_WEB.xml"
"Orbit Exports Limited","66.12","33.88","0","-","31-DEC-2022","19-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174887_772484_19012023113251_WEB.xml"
"Creative Newtech Limited","63.48","36.52","0","-","31-DEC-2022","19-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174888_772494_19012023113925_WEB.xml"
"Mukta Arts Limited","70.67","29.33","0","-","31-DEC-2022","13-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174168_765709_13012023040904_WEB.xml"
"PCBL LIMITED","51.41","48.59","0","-","31-DEC-2022","13-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174169_765713_13012023040923_WEB.xml"
"HOV Services Limited","50.42","49.58","0","-","31-DEC-2022","13-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174244_766633_13012023091618_WEB.xml"
"Atlanta  Limited","68.45","31.56","0","-","31-DEC-2022","13-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174245_766638_13012023093747_WEB.xml"
"Somi Conveyor Beltings Limited","59.09","40.91","0","-","31-DEC-2022","14-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174274_766990_14012023052201_WEB.xml"
"LGB Forge Limited","73.82","26.18","0","-","31-DEC-2022","14-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174275_767006_14012023070714_WEB.xml"
"Standard Industries Limited","20.31","79.69","0","-","31-DEC-2022","15-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174279_767049_15012023080122_WEB.xml"
"Supriya Lifescience Limited","68.24","31.76","0","-","31-DEC-2022","16-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174317_767477_16012023021216_WEB.xml"
"HLV LIMITED","49.57","50.43","0","-","31-DEC-2022","16-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174318_767479_16012023021432_WEB.xml"
"Hubtown Limited","42.69","57.31","0","-","31-DEC-2022","16-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174319_767495_16012023022008_WEB.xml"
"IFCI Limited","66.35","33.65","0","-","31-DEC-2022","16-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174320_767498_16012023022337_WEB.xml"
"PC Jeweller Limited","54.53","45.47","0","-","31-DEC-2022","16-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174321_767504_16012023022630_WEB.xml"
"Airo Lam limited","52.48","47.52","0","-","31-DEC-2022","16-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174322_767524_16012023023829_WEB.xml"
"Venus Pipes & Tubes Limited","48.2","51.8","0","-","31-DEC-2022","19-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174896_772535_19012023120214_WEB.xml"
"Asahi Songwon Colors Limited","66.73","33.27","0","-","31-DEC-2022","19-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174897_772537_19012023120229_WEB.xml"
"Latent View Analytics Limited","66.31","33.69","0","-","31-DEC-2022","19-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174898_772561_19012023121027_WEB.xml"
"Globus Spirits Limited","51.01","48.99","0","-","31-DEC-2022","19-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174899_772570_19012023121206_WEB.xml"
"Kolte - Patil Developers Limited","74.45","25.55","0","-","31-DEC-2022","19-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174900_772574_19012023121318_WEB.xml"
"The Sandesh Limited","74.81","25.19","0","-","31-DEC-2022","19-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174901_772586_19012023121602_WEB.xml"
"Sagardeep Alloys Limited","73.62","26.38","0","-","31-DEC-2022","19-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174902_772598_19012023121736_WEB.xml"
"Supreme Infrastructure India Limited","34.68","65.32","0","-","31-DEC-2022","19-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174903_772605_19012023121922_WEB.xml"
"Centrum Capital Limited","38.23","57.39","4.38","-","31-DEC-2022","19-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174904_772618_19012023122314_WEB.xml"
"Electrosteel Castings Limited","44.08","55.92","0","-","31-DEC-2022","19-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174906_772625_19012023122952_WEB.xml"
"Cigniti Technologies Limited","36.81","63.2","0","-","31-DEC-2022","19-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174907_772631_19012023123313_WEB.xml"
"Geekay Wires Limited","59.34","40.66","0","-","31-DEC-2022","19-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174908_772633_19012023123336_WEB.xml"
"Rajdarshan Industries Limited","63.66","36.34","0","-","31-DEC-2022","19-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174909_772639_19012023123535_WEB.xml"
"Isgec Heavy Engineering Limited","62.43","37.57","0","-","31-DEC-2022","16-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174338_767651_16012023033548_WEB.xml"
"KIOCL Limited","99.03","0.97","0","-","31-DEC-2022","16-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174339_767655_16012023033857_WEB.xml"
"APL Apollo Tubes Limited","31.15","68.85","0","-","31-DEC-2022","16-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174340_767664_16012023034124_WEB.xml"
"Par Drugs And Chemicals Limited","74.21","25.79","0","-","31-DEC-2022","16-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174341_767672_16012023034248_WEB.xml"
"AGS Transact Technologies Limited","65.52","33.57","0.91","-","31-DEC-2022","16-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174342_767674_16012023034410_WEB.xml"
"Century Extrusions Limited","52.04","47.96","0","-","31-DEC-2022","16-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174343_767692_16012023035027_WEB.xml"
"Liberty Shoes Limited","58.5","41.5","0","-","31-DEC-2022","16-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174344_767703_16012023035353_WEB.xml"
"Bank of Baroda","63.97","36.03","0","-","31-DEC-2022","16-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174345_767706_16012023035433_WEB.xml"
"CRISIL Limited","66.7","33.3","0","-","31-DEC-2022","16-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174346_767719_16012023040013_WEB.xml"
"BLB Limited","70.45","29.55","0","-","31-DEC-2022","16-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174347_767721_16012023040030_WEB.xml"
"BALAXI PHARMACEUTICALS LIMITED","72.69","27.31","0","-","31-DEC-2022","16-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174370_768002_16012023051048_WEB.xml"
"Alkem Laboratories Limited","57.16","42.84","0","-","31-DEC-2022","16-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174371_768006_16012023051204_WEB.xml"
"Oricon Enterprises Limited","66.97","33.03","0","-","31-DEC-2022","16-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174372_768032_16012023051922_WEB.xml"
"MRF Limited","27.87","72.13","0","-","31-DEC-2022","19-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174938_772810_19012023014151_WEB.xml"
"Zenith Exports Limited","51.75","48.25","0","-","31-DEC-2022","19-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174939_772821_19012023014612_WEB.xml"
"Nilkamal Limited","64.54","35.46","0","-","31-DEC-2022","19-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174940_772825_19012023015104_WEB.xml"
"Rategain Travel Technologies Limited","55.79","44.21","0","-","31-DEC-2022","19-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174941_772831_19012023015222_WEB.xml"
"Windlas Biotech Limited","60.75","39.25","0","-","31-DEC-2022","19-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174942_772833_19012023015247_WEB.xml"
"Muthoot Capital Services Limited","62.62","37.38","0","-","31-DEC-2022","19-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174943_772842_19012023015421_WEB.xml"
"Creative Eye Limited","56.26","43.74","0","-","31-DEC-2022","19-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174944_772847_19012023015520_WEB.xml"
"Hardwyn India Limited","74.85","25.15","0","-","31-DEC-2022","19-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174945_772859_19012023020718_WEB.xml"
"Reliance Home Finance Limited","48.64","51.36","0","-","31-DEC-2022","19-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174981_773144_19012023034313_WEB.xml"
"Jfl Life Sciences Limited","67.47","32.53","0","-","31-DEC-2022","19-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174982_773145_19012023034314_WEB.xml"
"JITF Infralogistics Limited","63.03","36.97","0","-","31-DEC-2022","19-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174983_773148_19012023034545_WEB.xml"
"Railtel Corporation Of India Limited","72.84","27.16","0","-","31-DEC-2022","19-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174984_773158_19012023034823_WEB.xml"
"AJR INFRA AND TOLLING LIMITED","20.6","79.4","0","-","31-DEC-2022","19-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174985_773182_19012023035030_WEB.xml"
"PSP Projects Limited","67.54","32.46","0","-","31-DEC-2022","19-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174986_773185_19012023035049_WEB.xml"
"Texmaco Rail & Engineering Limited","58.38","41.62","0","-","31-DEC-2022","16-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174396_768284_16012023062605_WEB.xml"
"Dangee Dums Limited","64.45","35.55","0","-","31-DEC-2022","16-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174397_768288_16012023062804_WEB.xml"
"Alicon Castalloy Limited","55.71","44.29","0","-","31-DEC-2022","16-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174398_768296_16012023063052_WEB.xml"
"Sunteck Realty Limited","67.12","32.88","0","-","31-DEC-2022","16-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174399_768303_16012023063234_WEB.xml"
"National Steel And Agro Industries Limited","49.85","50.15","0","-","31-DEC-2022","16-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174400_768305_16012023063346_WEB.xml"
"Shipping Corporation Of India Limited","63.75","36.25","0","-","31-DEC-2022","16-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174401_768320_16012023063511_WEB.xml"
"Sejal Glass Limited","90.5","9.5","0","-","31-DEC-2022","16-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174406_768410_16012023071111_WEB.xml"
"Alok Industries Limited","75","25","0","-","31-DEC-2022","16-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174407_768413_16012023071156_WEB.xml"
"Hercules Hoists Limited","69.61","30.39","0","-","31-DEC-2022","16-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174408_768417_16012023071421_WEB.xml"
"Bartronics India Limited","0","100","0","-","31-DEC-2022","17-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174418_768634_17012023105024_WEB.xml"
"Dixon Technologies (India) Limited","34.06","65.94","0","-","31-DEC-2022","17-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174419_768636_17012023105027_WEB.xml"
"Bhageria Industries Limited","71.44","28.56","0","-","31-DEC-2022","17-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174420_768658_17012023105905_WEB.xml"
"Excel Industries Limited","52.6","47.4","0","-","31-DEC-2022","19-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174946_772864_19012023021050_WEB.xml"
"Ramco Systems Limited","54.27","45.73","0","-","31-DEC-2022","19-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174947_772873_19012023021444_WEB.xml"
"Wheels India Limited","58.1","41.9","0","-","31-DEC-2022","19-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174948_772884_19012023021632_WEB.xml"
"Indraprastha Gas Limited","45","55","0","-","31-DEC-2022","19-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174949_772886_19012023021732_WEB.xml"
"TPL Plastech Limited","74.86","25.14","0","-","31-DEC-2022","19-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174950_772890_19012023021756_WEB.xml"
"Supreme Petrochem Limited","64.24","35.76","0","-","31-DEC-2022","19-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174951_772898_19012023022208_WEB.xml"
"Lincoln Pharmaceuticals Limited","46.34","53.66","0","-","31-DEC-2022","19-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174952_772905_19012023022548_WEB.xml"
"Parsvnath Developers Limited","66.27","33.73","0","-","31-DEC-2022","19-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174953_772909_19012023022732_WEB.xml"
"Deep Industries Limited","63.49","36.51","0","-","31-DEC-2022","19-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174954_772923_19012023023334_WEB.xml"
"General Insurance Corporation of India","85.78","14.22","0","-","31-DEC-2022","19-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174955_772928_19012023023520_WEB.xml"
"Godha Cabcon & Insulation Limited","58.1","41.9","0","-","31-DEC-2022","19-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174956_772930_19012023023525_WEB.xml"
"Indiabulls Real Estate Limited","0","99.89","0.11","-","31-DEC-2022","19-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174958_772956_19012023024624_WEB.xml"
"Swaraj Engines Limited","52.13","47.87","0","-","31-DEC-2022","19-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174959_772963_19012023025211_WEB.xml"
"Time Technoplast Limited","51.33","48.67","0","-","31-DEC-2022","19-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174960_772965_19012023025306_WEB.xml"
"Automotive Stampings and Assemblies Limited","75","25","0","-","31-DEC-2022","11-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_173751_761337_11012023101825_WEB.xml"
"Heranba Industries Limited","74.87","25.13","0","-","31-DEC-2022","11-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_173752_761343_11012023102712_WEB.xml"
"Rico Auto Industries Limited","50.32","49.68","0","-","31-DEC-2022","11-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_173753_761347_11012023103556_WEB.xml"
"Modern Thread Limited","65.1","34.9","0","-","31-DEC-2022","12-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_173918_763080_12012023111027_WEB.xml"
"Indowind Energy Limited","44.76","55.24","0","-","31-DEC-2022","12-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_173920_763084_12012023111239_WEB.xml"
"Chembond Chemicals Ltd","67.55","32.45","0","-","31-DEC-2022","16-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174373_768034_16012023051953_WEB.xml"
"Prime Focus Limited","69.96","30.04","0","-","31-DEC-2022","16-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174374_768036_16012023052040_WEB.xml"
"Summit Securities Limited","74.65","25.35","0","-","31-DEC-2022","16-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174376_768050_16012023052452_WEB.xml"
"Nakoda Group of Industries Limited","67.85","32.15","0","-","31-DEC-2022","16-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174377_768054_16012023052531_WEB.xml"
"Oriental Aromatics Limited","74.17","25.83","0","-","31-DEC-2022","16-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174378_768056_16012023052630_WEB.xml"
"Genesys International Corporation Limited","40.6","59.4","0","-","31-DEC-2022","16-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174379_768068_16012023052846_WEB.xml"
"TGB Banquets And Hotels Limited","31.71","68.29","0","-","31-DEC-2022","16-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174381_768072_16012023052852_WEB.xml"
"Info Edge (India) Limited","38.05","61.75","0.2","-","31-DEC-2022","16-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174382_768096_16012023053241_WEB.xml"
"Polyplex Corporation Limited","50.97","49.03","0","-","31-DEC-2022","16-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174383_768102_16012023053457_WEB.xml"
"STL Global Limited","65.76","34.24","0","-","31-DEC-2022","19-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174987_773190_19012023035224_WEB.xml"
"Marathon Nextgen Realty Limited","74.44","25.56","0","-","31-DEC-2022","19-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174988_773194_19012023035344_WEB.xml"
"Simbhaoli Sugars Limited","53.33","46.67","0","-","31-DEC-2022","19-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174989_773197_19012023035451_WEB.xml"
"Niraj Ispat Industries Limited","74.58","25.42","0","-","31-DEC-2022","19-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174990_773208_19012023035801_WEB.xml"
"DJ Mediaprint & Logistics Limited","56.36","43.64","0","-","31-DEC-2022","19-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174991_773213_19012023035909_WEB.xml"
"Infosys Limited","15.11","84.54","0.34","-","31-DEC-2022","19-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174992_773230_19012023040253_WEB.xml"
"MEP Infrastructure Developers Limited","43.46","56.54","0","-","31-DEC-2022","19-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174993_773233_19012023040554_WEB.xml"
"Arshiya Limited","31.35","68.65","0","-","31-DEC-2022","19-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174994_773239_19012023040707_WEB.xml"
"Mtar Technologies Limited","47.18","52.82","0","-","31-DEC-2022","19-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174995_773243_19012023040721_WEB.xml"
"Almondz Global Securities Limited","59.98","40.02","0","-","31-DEC-2022","19-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174996_773245_19012023040806_WEB.xml"
"Oberoi Realty Limited","67.7","32.3","0","-","31-DEC-2022","19-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174997_773248_19012023040834_WEB.xml"
"Birla Corporation Limited","62.9","37.1","0","-","31-DEC-2022","19-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174998_773253_19012023041023_WEB.xml"
"Kalpataru Power Transmission Limited","51.53","48.47","0","-","31-DEC-2022","19-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_175001_773278_19012023041617_WEB.xml"
"Goodluck India Limited","58.73","41.27","0","-","31-DEC-2022","11-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_173768_761491_11012023114205_WEB.xml"
"Suven Pharmaceuticals Limited","60","40","0","-","31-DEC-2022","11-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_173769_761494_11012023114238_WEB.xml"
"Gujarat Ambuja Exports Limited","63.84","36.16","0","-","31-DEC-2022","11-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_173770_761520_11012023114838_WEB.xml"
"Essar Shipping Limited","74.37","25.63","0","-","31-DEC-2022","11-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_173771_761522_11012023114908_WEB.xml"
"Osia Hyper Retail Limited","58.18","41.81","0","-","31-DEC-2022","11-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_173772_761524_11012023114947_WEB.xml"
"WE WIN LIMITED","69.86","30.14","0","-","31-DEC-2022","11-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_173773_761533_11012023115138_WEB.xml"
"Medico Remedies Limited","73.34","26.66","0","-","31-DEC-2022","11-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_173774_761549_11012023115523_WEB.xml"
"Quick Heal Technologies Limited","73.08","26.92","0","-","31-DEC-2022","11-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_173775_761551_11012023115543_WEB.xml"
"Alps Industries Limited","27.06","72.94","0","-","31-DEC-2022","11-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_173776_761553_11012023115654_WEB.xml"
"Lotus Eye Hospital and Institute Limited","58.14","41.86","0","-","31-DEC-2022","11-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_173779_761564_11012023115908_WEB.xml"
"Engineers India Limited","51.32","48.68","0","-","31-DEC-2022","11-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_173780_761573_11012023120026_WEB.xml"
"Technocraft Industries (India) Limited","74.68","25.32","0","-","31-DEC-2022","11-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_173781_761586_11012023120908_WEB.xml"
"Unichem Laboratories Limited","50.93","49.07","0","-","31-DEC-2022","12-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_173957_763500_12012023021033_WEB.xml"
"Suryoday Small Finance Bank Limited","23.3","76.7","0","-","31-DEC-2022","12-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_173958_763528_12012023022303_WEB.xml"
"Smartlink Holdings Limited","69.89","30.11","0","-","31-DEC-2022","19-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174961_772980_19012023025701_WEB.xml"
"Ajooni Biotech Limited","36.39","63.61","0","-","31-DEC-2022","19-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174962_772991_19012023030103_WEB.xml"
"SBI Cards and Payment Services Limited","69.05","30.95","0","-","31-DEC-2022","19-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174963_772992_19012023030105_WEB.xml"
"Tamilnadu Telecommunication Limited","63.63","36.37","0","-","31-DEC-2022","19-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174964_772997_19012023030401_WEB.xml"
"Greenlam Industries Limited","51.22","48.78","0","-","31-DEC-2022","19-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174965_773002_19012023030542_WEB.xml"
"Oswal Chemicals & Fertilizers Limited","64.34","35.66","0","-","31-DEC-2022","19-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174966_773008_19012023030734_WEB.xml"
"Gateway Distriparks Limited","32.12","67.88","0","-","31-DEC-2022","20-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_175173_774510_20012023121045_WEB.xml"
"Welspun Investments and Commercials Limited","74.58","25.42","0","-","31-DEC-2022","20-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_175174_774518_20012023121208_WEB.xml"
"Cerebra Integrated Technologies Limited","2.79","97.21","0","-","31-DEC-2022","20-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_175177_774525_20012023121354_WEB.xml"
"Nagarjuna Fertilizers and Chemicals Limited","57.13","42.87","0","-","31-DEC-2022","20-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_175178_774546_20012023122001_WEB.xml"
"Adani Enterprises Limited","72.63","27.37","0","-","31-DEC-2022","20-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_175179_774563_20012023122514_WEB.xml"
"Dabur India Limited","66.24","33.76","0","-","31-DEC-2022","20-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_175180_774568_20012023122648_WEB.xml"
"Barbeque Nation Hospitality Limited","33.78","66.22","0","-","31-DEC-2022","20-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_175181_774577_20012023123047_WEB.xml"
"Gillanders Arbuthnot & Company Limited","69.08","30.92","0","-","31-DEC-2022","20-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_175182_774581_20012023123105_WEB.xml"
"Madhya Pradesh Today Media Limited","53.41","46.6","0","-","31-DEC-2022","20-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_175183_774584_20012023123148_WEB.xml"
"Zee Learn Limited","15.05","84.95","0","-","31-DEC-2022","11-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_173895_762857_11012023064542_WEB.xml"
"Bank of Maharashtra","90.97","9.03","0","-","31-DEC-2022","13-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174198_766087_13012023051411_WEB.xml"
"NGL Fine-Chem Limited","73.81","26.19","0","-","31-DEC-2022","13-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174199_766098_13012023051528_WEB.xml"
"Prataap Snacks Limited","71.18","28.82","0","-","31-DEC-2022","13-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174200_766122_13012023051933_WEB.xml"
"MphasiS Limited","55.65","44.35","0","-","31-DEC-2022","13-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174201_766126_13012023052033_WEB.xml"
"Vakrangee Limited","42.6","57.4","0","-","31-DEC-2022","13-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174202_766151_13012023052709_WEB.xml"
"Karur Vysya Bank Limited","2.25","97.75","0","-","31-DEC-2022","13-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174204_766171_13012023052930_WEB.xml"
"Teamlease Services Limited","31.51","68.44","0.05","-","31-DEC-2022","13-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174206_766187_13012023053302_WEB.xml"
"Mindteck (India) Limited","64.4","33.97","1.63","-","31-DEC-2022","13-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174207_766189_13012023053401_WEB.xml"
